Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level,Remarks
Sichuan,Mianyang,Mianyang_Station_3,33.93337,105.833492,2023-11-01,24.29,6.92,7.96,399.75,0.06,1.66,0.02,0.75,0.139,3.25,20.44,2.55,3.31,0.43,0.12,127,96.99,Good,Monitoring recommended
Beijing,Beijing,Beijing_Station_6,30.601632,114.818788,2023-01-26,21.12,7.01,8.2,422.7,17.42,3.14,0.024,0.41,0.193,3.6,29.08,3.89,6.95,0.21,0.14,90,35.34,Excellent,
Zhejiang,Hangzhou,Hangzhou_Station_1,28.448851,106.930824,2023-06-26,16.2,7.08,8.68,687.62,1.85,2.29,0.03,0.65,0.174,3.35,19.34,3.93,4.44,0.56,0.05,111,46.87,Poor,
Sichuan,Mianyang,Mianyang_Station_4,21.767467,124.428567,2023-04-18,12.03,6.7,8.01,504.7,7.33,1.84,0.004,0.23,0.127,3.53,27.71,3.17,4.39,0.55,0.2,108,85.22,Good,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_10,41.963126,116.820089,2023-07-07,30.3,7.88,7.5,597.16,0.72,2.74,0.029,0.41,0.083,2.13,27.22,4.89,4.73,0.54,-0.01,109,62.21,Very Poor,
Guangdong,Shenzhen,Shenzhen_Station_9,39.361329,101.608317,2023-12-03,11.48,6.97,8.77,496.73,3.39,2.56,0.006,0.48,0.096,2.45,22.44,4.75,4.42,0.91,0.08,89,4.09,Very Poor,Requires attention
Henan,Zhengzhou,Zhengzhou_Station_9,41.649875,112.391598,2023-09-25,17.35,6.6,7.79,396.48,1.16,2.03,-0.003,0.48,0.102,3.26,26.02,4.85,3.76,0.35,0.13,91,48.45,Poor,Monitoring recommended
Hubei,Yichang,Yichang_Station_5,28.35643,110.978065,2023-08-05,12.42,7.68,11.29,475.1,0.19,2.43,0.01,0.51,0.148,2.51,20.4,5.52,0.09,0.34,0.05,96,32.21,Poor,Requires attention
Guangdong,Guangzhou,Guangzhou_Station_8,26.856036,104.584787,2023-06-05,16.77,6.46,11.37,588.16,7.78,1.56,0.02,0.97,0.151,2.78,27.91,3.61,3.66,0.78,0.03,102,98.65,Excellent,Monitoring recommended
Yunnan,Dali,Dali_Station_7,42.71605,101.869134,2023-01-12,13.01,7.28,6.7,451.29,1.03,1.59,0.015,-0.0,0.134,3.2,19.58,4.24,5.55,0.36,0.07,102,28.0,Excellent,Requires attention
Zhejiang,Ningbo,Ningbo_Station_3,39.123203,115.35914,2023-10-25,16.69,7.29,6.47,319.51,3.54,1.77,0.017,0.2,0.14,2.43,21.34,6.78,1.78,0.47,0.08,87,99.0,Moderate,Requires attention
Beijing,Beijing,Beijing_Station_7,41.566757,118.723211,2023-05-02,25.03,6.71,9.67,387.03,7.14,1.64,0.044,0.15,0.048,3.08,20.45,4.49,8.16,0.48,0.11,109,16.37,Very Poor,
Sichuan,Chengdu,Chengdu_Station_9,28.681149,103.542698,2023-11-13,21.97,6.79,8.58,707.54,2.22,1.86,0.029,0.45,0.165,2.66,8.85,5.05,3.31,0.18,0.1,115,54.36,Poor,High pollution spike detected
Yunnan,Kunming,Kunming_Station_8,40.381768,110.062302,2023-07-23,21.18,7.39,5.04,614.38,0.75,2.25,0.032,0.69,0.104,2.76,22.02,2.91,3.37,0.8,0.12,113,82.13,Poor,
Henan,Luoyang,Luoyang_Station_2,24.801898,121.950265,2023-02-26,18.65,6.51,7.11,537.73,1.3,2.48,0.03,0.78,0.15,2.18,21.4,2.94,3.97,0.53,0.14,97,94.73,Good,
Shandong,Qingdao,Qingdao_Station_7,27.949988,103.22426,2023-10-30,21.4,6.44,12.89,512.92,0.09,2.89,0.026,0.54,0.122,3.13,14.3,2.66,8.77,0.54,0.11,118,11.32,Very Poor,
Shanghai,Shanghai,Shanghai_Station_1,41.821983,102.193845,2023-01-24,20.28,7.55,4.62,652.96,0.28,2.54,0.014,0.67,-0.016,2.89,23.14,5.27,3.36,0.2,0.09,99,17.64,Moderate,
Jiangsu,Suzhou,Suzhou_Station_4,40.204767,103.719794,2023-04-02,6.52,6.97,7.54,569.62,4.34,1.49,0.025,0.34,0.092,3.0,20.79,3.32,5.3,0.34,0.13,115,19.07,Very Poor,High pollution spike detected
Jiangsu,Nanjing,Nanjing_Station_9,25.671504,121.03869,2023-12-15,19.84,6.73,6.57,510.64,7.47,2.69,-0.007,0.08,0.038,2.41,21.02,4.29,4.49,0.47,0.13,93,40.87,Excellent,Requires attention
Beijing,Beijing,Beijing_Station_4,30.785867,105.186028,2023-08-20,24.68,7.64,9.44,387.09,0.1,2.05,0.019,0.6,0.047,2.82,18.85,4.81,3.12,0.55,0.11,97,20.5,Poor,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_8,24.591588,121.321029,2023-12-24,22.97,6.85,8.65,374.89,2.74,1.38,0.012,0.76,0.012,3.38,12.93,5.25,0.66,0.15,0.07,122,14.01,Good,
Sichuan,Mianyang,Mianyang_Station_6,33.296476,111.897126,2023-07-11,19.81,7.55,8.23,515.03,2.77,3.08,0.027,0.38,0.079,2.36,20.5,2.37,6.1,0.9,0.14,111,1.1,Excellent,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_4,38.825218,108.347286,2023-06-14,21.28,7.49,11.33,601.44,0.96,1.92,0.028,0.58,-0.018,2.83,20.99,2.57,6.16,0.2,0.06,96,29.71,Very Poor,Requires attention
Sichuan,Mianyang,Mianyang_Station_6,37.848377,115.055612,2023-06-09,15.25,8.32,8.99,518.48,6.59,2.3,0.005,0.5,0.067,2.16,24.94,3.65,5.49,0.54,0.08,100,43.48,Good,Requires attention
Shanghai,Shanghai,Shanghai_Station_3,25.709125,121.77899,2023-07-14,23.54,6.72,9.26,597.26,1.59,1.12,0.031,0.24,0.089,3.53,20.6,4.82,6.24,0.76,0.15,112,48.94,Moderate,Requires attention
Shandong,Jinan,Jinan_Station_10,33.324258,121.851032,2023-12-30,22.15,7.1,8.54,372.33,12.35,2.22,0.018,0.73,0.096,2.77,24.43,2.59,6.0,0.29,0.16,107,31.53,Moderate,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_9,21.033143,111.136859,2023-10-07,27.23,7.1,10.06,351.44,10.86,1.33,0.026,0.64,0.102,3.61,16.58,3.49,0.03,0.68,0.12,98,73.76,Good,Requires attention
Zhejiang,Ningbo,Ningbo_Station_4,21.262966,100.391229,2023-09-29,17.9,6.86,5.31,408.13,1.76,1.03,0.008,0.29,0.134,2.92,15.87,6.31,3.67,0.73,0.18,100,17.65,Poor,Requires attention
Beijing,Beijing,Beijing_Station_4,39.674378,121.409449,2023-10-11,16.88,6.72,6.73,618.9,0.3,1.81,0.008,0.66,0.152,3.17,18.12,3.29,3.59,0.97,0.15,102,87.75,Excellent,
Shanghai,Shanghai,Shanghai_Station_4,35.251724,113.629876,2023-03-22,16.94,6.81,8.57,533.45,5.32,1.57,0.021,0.15,0.037,3.44,15.25,3.16,4.98,0.64,0.05,82,49.51,Very Poor,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_10,40.326352,100.152429,2023-07-09,32.63,6.73,7.02,604.42,5.67,1.18,0.025,0.55,0.115,3.47,22.11,4.41,6.43,0.6,0.14,105,75.27,Excellent,High pollution spike detected
Yunnan,Dali,Dali_Station_2,28.910684,123.036966,2023-07-23,19.16,7.07,10.41,418.31,0.88,2.21,0.024,0.45,0.1,3.41,12.55,4.02,5.18,0.65,0.03,101,10.7,Very Poor,Requires attention
Shandong,Qingdao,Qingdao_Station_6,40.459325,100.017169,2023-04-08,21.25,7.79,7.81,527.9,5.01,2.09,0.024,0.46,0.08,2.82,20.87,2.19,6.93,0.4,0.11,87,2.46,Excellent,High pollution spike detected
Guangdong,Shenzhen,Shenzhen_Station_3,24.647425,109.881441,2023-06-08,27.83,6.97,6.89,688.12,1.6,1.39,0.018,0.63,0.149,3.56,26.55,3.78,2.71,0.48,0.13,104,27.42,Poor,Requires attention
Guangdong,Shenzhen,Shenzhen_Station_7,30.100151,106.011096,2023-10-05,19.77,7.12,7.52,535.21,1.2,2.04,0.018,0.69,0.083,3.25,19.86,4.27,4.54,0.64,0.14,112,62.62,Moderate,Monitoring recommended
Zhejiang,Ningbo,Ningbo_Station_4,31.776082,120.818523,2023-11-22,20.98,7.35,7.82,644.01,0.62,2.19,0.012,0.23,0.084,2.63,19.93,2.41,6.13,0.37,0.15,99,7.24,Moderate,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_4,44.941576,124.584187,2023-02-18,17.74,5.79,4.83,576.04,5.94,2.19,0.025,0.5,0.071,2.87,17.98,6.4,4.95,0.6,0.19,100,35.06,Poor,
Yunnan,Dali,Dali_Station_8,29.365034,121.053163,2023-01-19,14.99,6.86,11.6,564.08,8.06,1.75,0.016,0.56,0.06,3.91,21.79,4.39,6.36,0.38,0.15,110,89.48,Excellent,Monitoring recommended
Beijing,Beijing,Beijing_Station_10,34.80574,123.89624,2023-01-21,26.59,7.1,12.15,431.08,3.74,1.82,0.022,0.29,0.074,3.31,25.65,6.97,4.81,0.31,0.14,104,68.02,Excellent,
Zhejiang,Hangzhou,Hangzhou_Station_7,38.80463,103.096844,2023-06-11,18.71,6.17,8.8,564.72,6.79,1.07,0.011,0.19,0.2,2.95,28.9,2.37,3.85,0.66,0.11,91,63.16,Excellent,Requires attention
Shanghai,Shanghai,Shanghai_Station_9,24.401751,107.182222,2023-02-17,16.87,7.2,8.99,526.07,0.99,2.16,0.017,0.17,0.097,2.92,25.31,1.77,5.47,0.27,0.12,97,25.81,Moderate,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_2,31.763983,122.839636,2023-08-14,13.53,7.58,7.06,534.65,17.5,1.22,0.017,0.08,0.113,2.87,26.17,4.65,2.22,0.33,0.13,89,73.64,Excellent,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_8,43.655553,118.943604,2023-07-12,18.39,8.04,8.76,543.0,4.4,1.85,0.024,0.43,0.072,3.02,16.56,3.87,2.93,0.46,0.12,100,14.83,Very Poor,High pollution spike detected
Yunnan,Dali,Dali_Station_7,32.055866,118.803965,2023-07-29,24.58,7.17,10.0,210.37,3.36,1.56,0.024,0.31,0.132,3.14,16.75,5.07,4.67,0.61,0.05,105,61.78,Moderate,High pollution spike detected
Zhejiang,Hangzhou,Hangzhou_Station_4,28.21861,120.078164,2023-12-27,21.01,7.53,10.21,618.7,1.21,1.46,0.036,0.35,0.115,3.5,18.74,4.34,7.87,0.61,0.12,97,66.76,Good,Requires attention
Shandong,Jinan,Jinan_Station_1,35.343173,102.290573,2023-11-20,22.99,7.35,7.4,637.57,8.51,2.06,0.01,0.24,0.018,2.56,27.76,2.45,4.39,0.24,0.07,82,66.82,Very Poor,Monitoring recommended
Yunnan,Kunming,Kunming_Station_2,29.874947,123.212833,2023-12-26,16.56,8.13,9.96,467.52,3.66,1.77,0.02,0.27,0.023,3.72,10.88,6.33,6.45,0.64,0.13,115,92.7,Good,
Yunnan,Dali,Dali_Station_4,33.481498,112.095714,2023-04-14,16.23,6.86,4.61,490.17,1.68,2.49,0.014,0.12,0.12,3.76,23.87,3.4,1.83,0.47,0.09,105,52.52,Very Poor,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_10,28.827944,123.34357,2023-04-03,16.99,7.16,4.81,544.05,16.47,2.7,0.019,0.38,0.103,3.24,20.7,5.21,5.77,0.44,0.12,91,41.1,Moderate,High pollution spike detected
Beijing,Beijing,Beijing_Station_9,38.775225,116.334919,2023-02-28,13.78,6.65,6.56,589.49,8.65,2.91,0.012,0.55,0.061,4.11,13.81,4.52,3.53,0.43,0.12,84,64.2,Poor,High pollution spike detected
Shandong,Qingdao,Qingdao_Station_5,27.843065,116.04246,2023-09-07,24.82,8.11,6.89,363.02,4.51,2.16,0.02,0.58,0.061,2.28,10.43,4.98,7.21,0.56,0.07,102,7.94,Good,
Shandong,Qingdao,Qingdao_Station_1,25.941333,113.459267,2023-06-18,17.09,6.49,6.7,377.61,0.36,1.62,0.02,0.38,0.135,3.52,20.54,4.46,9.24,0.27,0.04,105,73.07,Moderate,
Shanghai,Shanghai,Shanghai_Station_1,23.338254,122.207838,2023-08-21,16.47,6.97,9.12,507.6,0.96,1.5,0.026,0.32,0.104,3.79,18.47,5.31,2.57,0.39,0.03,118,84.2,Good,High pollution spike detected
Jiangsu,Nanjing,Nanjing_Station_6,39.471234,100.147649,2023-07-08,31.6,7.2,8.38,469.09,0.68,2.25,0.026,0.29,0.056,2.65,18.81,4.09,6.42,0.33,0.02,98,51.57,Moderate,
Sichuan,Chengdu,Chengdu_Station_3,35.567404,104.55092,2023-11-27,19.97,7.42,8.16,490.11,2.4,2.28,0.026,0.4,0.088,2.41,18.23,2.96,7.63,0.51,0.11,111,86.2,Poor,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_9,32.312004,107.244391,2023-02-15,19.87,7.41,10.78,555.78,0.96,0.74,0.021,0.43,0.05,3.25,20.27,2.2,3.71,-0.08,0.11,85,21.6,Excellent,Requires attention
Zhejiang,Hangzhou,Hangzhou_Station_6,27.823326,117.585115,2023-06-11,27.65,7.61,7.57,649.07,0.3,1.72,0.016,0.43,0.065,3.15,16.86,4.02,3.54,0.19,0.15,104,42.61,Moderate,High pollution spike detected
Hubei,Yichang,Yichang_Station_4,30.834977,109.086246,2023-05-01,13.17,6.89,5.66,319.8,8.79,2.44,0.028,0.49,0.091,2.8,19.92,4.86,3.41,0.52,0.04,91,24.12,Good,Requires attention
Shanghai,Shanghai,Shanghai_Station_8,20.122618,118.536837,2023-10-04,19.92,7.29,8.24,402.69,3.03,1.4,0.02,0.73,0.057,1.85,17.78,3.13,0.45,0.56,0.11,94,43.76,Very Poor,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_4,44.285236,120.162211,2023-04-13,23.39,6.76,12.31,439.43,5.38,2.14,0.028,0.37,0.108,2.4,20.31,4.09,8.44,0.45,0.1,83,7.21,Poor,
Jiangsu,Nanjing,Nanjing_Station_7,29.75374,124.714451,2023-03-03,13.26,6.51,10.4,434.31,5.41,1.77,0.016,0.56,0.065,2.61,24.4,4.61,7.62,0.25,0.07,86,77.46,Good,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_7,34.161885,117.521896,2023-07-08,22.28,8.08,6.71,592.78,19.55,2.73,0.038,0.65,0.13,2.57,21.8,4.56,4.58,0.38,0.04,98,61.29,Moderate,Requires attention
Henan,Luoyang,Luoyang_Station_1,36.090974,121.843824,2023-05-05,18.89,6.86,8.61,581.57,1.68,2.15,0.023,0.67,0.059,3.61,19.3,4.89,6.47,0.29,0.13,120,16.48,Poor,Requires attention
Yunnan,Dali,Dali_Station_6,26.160169,100.966118,2023-03-14,22.0,6.67,6.94,558.64,3.52,2.25,0.027,0.96,0.154,2.05,20.39,5.81,6.25,0.57,0.15,108,46.16,Moderate,High pollution spike detected
Henan,Luoyang,Luoyang_Station_2,30.764663,100.69609,2023-08-15,18.95,6.57,6.84,558.86,4.05,2.36,0.034,0.4,0.044,3.14,27.27,2.55,2.79,0.41,0.06,96,72.21,Very Poor,
Shandong,Jinan,Jinan_Station_4,37.52267,109.963604,2023-07-25,21.12,7.47,5.16,323.92,5.95,2.58,0.014,0.54,0.058,4.11,18.52,4.13,3.62,0.87,0.19,103,80.5,Moderate,High pollution spike detected
Shandong,Qingdao,Qingdao_Station_6,36.717554,122.005308,2023-04-27,23.89,6.72,6.36,499.66,0.3,2.56,0.014,0.69,0.134,1.61,24.0,3.57,3.23,0.33,0.09,91,73.57,Poor,
Shanghai,Shanghai,Shanghai_Station_9,40.833222,100.684414,2023-06-10,14.88,7.93,10.44,558.21,0.63,2.57,0.017,0.74,0.003,2.37,21.74,2.59,2.65,0.39,0.14,100,94.07,Poor,High pollution spike detected
Jiangsu,Nanjing,Nanjing_Station_9,28.892129,106.377935,2023-03-26,17.67,6.2,9.03,446.73,3.06,1.44,0.019,0.54,0.081,1.56,19.2,4.9,6.56,0.57,0.05,87,65.7,Very Poor,
Guangdong,Guangzhou,Guangzhou_Station_5,20.603622,112.724728,2023-01-26,19.5,6.9,6.24,417.31,11.84,1.58,0.011,0.44,0.178,2.74,19.93,4.1,2.74,0.15,0.05,115,66.38,Very Poor,Requires attention
Yunnan,Dali,Dali_Station_8,40.058341,104.139134,2023-04-08,20.33,7.26,4.87,447.09,6.56,1.44,0.026,0.23,0.221,3.04,21.74,3.19,4.37,0.41,0.07,92,56.12,Good,Requires attention
Sichuan,Chengdu,Chengdu_Station_10,40.21937,112.917384,2023-01-23,14.92,7.03,8.86,569.31,0.35,2.19,0.038,0.48,0.059,2.37,19.71,3.55,9.02,0.85,0.05,101,51.25,Poor,Requires attention
Jiangsu,Nanjing,Nanjing_Station_8,23.225819,114.470416,2023-08-23,19.09,7.69,6.71,420.08,0.9,2.58,0.012,0.21,0.105,2.82,22.56,4.32,4.94,0.49,0.06,116,49.78,Poor,
Shandong,Qingdao,Qingdao_Station_6,29.178298,115.964606,2023-06-08,21.49,6.62,7.15,614.84,7.47,1.08,0.022,0.57,0.168,3.59,22.68,4.77,4.62,0.26,0.11,106,31.68,Excellent,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_2,26.444931,117.025546,2023-07-06,18.33,6.8,6.09,542.36,2.9,1.63,0.022,0.54,0.112,3.26,20.03,4.27,4.91,0.73,0.17,89,42.75,Excellent,Monitoring recommended
Zhejiang,Hangzhou,Hangzhou_Station_1,41.53046,123.350651,2023-06-13,25.94,8.29,9.16,532.58,0.41,1.6,0.026,0.55,0.115,3.9,21.75,3.7,1.09,0.47,0.17,96,82.82,Moderate,High pollution spike detected
Shandong,Jinan,Jinan_Station_3,27.089769,118.446202,2023-04-19,15.0,6.75,9.68,554.67,0.53,1.72,0.016,0.37,-0.001,3.38,26.29,2.48,7.49,0.48,0.16,87,32.51,Moderate,Monitoring recommended
Zhejiang,Ningbo,Ningbo_Station_8,39.500838,117.76583,2023-02-24,17.68,7.1,8.57,474.11,1.29,1.75,0.028,0.78,0.151,2.03,20.63,5.03,2.37,0.64,0.13,105,90.72,Poor,High pollution spike detected
Yunnan,Dali,Dali_Station_1,44.619031,103.408466,2023-01-21,23.36,7.95,7.73,402.55,3.08,2.07,0.031,0.55,0.097,2.91,15.29,3.78,5.84,0.41,0.14,116,80.49,Good,
Beijing,Beijing,Beijing_Station_1,35.058675,105.637839,2023-07-21,15.32,7.54,6.93,580.81,10.31,2.17,0.014,0.32,0.105,2.06,18.52,2.39,6.56,0.71,0.06,112,59.32,Excellent,Requires attention
Sichuan,Chengdu,Chengdu_Station_5,41.878496,120.413814,2023-05-22,19.48,6.92,8.14,616.19,0.33,2.17,0.032,0.55,0.132,3.33,33.44,2.19,3.62,0.79,0.08,103,44.34,Very Poor,
Zhejiang,Hangzhou,Hangzhou_Station_9,21.087211,108.843534,2023-12-26,28.06,7.66,11.28,574.21,1.36,1.52,0.02,0.45,-0.02,3.21,20.72,5.48,6.22,0.96,0.11,82,36.19,Very Poor,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_5,42.709402,107.716462,2023-11-29,16.94,6.98,7.14,430.76,17.79,1.89,-0.001,0.59,0.038,2.55,16.65,3.8,5.01,0.72,0.07,102,29.35,Good,Requires attention
Beijing,Beijing,Beijing_Station_3,20.249098,100.707985,2023-07-19,19.2,7.34,8.43,424.8,0.6,2.05,-0.002,0.5,0.154,2.8,16.74,2.62,1.28,0.67,0.09,106,30.94,Moderate,Monitoring recommended
Zhejiang,Hangzhou,Hangzhou_Station_2,27.156967,124.488849,2023-10-07,17.58,7.07,11.22,589.68,0.61,1.58,-0.002,0.32,0.085,3.76,17.55,4.51,4.66,0.75,0.16,96,1.01,Very Poor,
Shanghai,Shanghai,Shanghai_Station_1,42.918544,121.62373,2023-04-20,23.54,7.12,9.91,528.71,6.44,2.03,0.013,0.16,0.068,4.34,17.57,2.04,6.47,0.67,0.16,112,42.99,Excellent,Requires attention
Yunnan,Dali,Dali_Station_10,42.447294,105.196318,2023-01-13,14.03,7.46,10.0,432.94,2.96,2.26,0.025,0.14,0.065,2.08,25.86,5.59,6.56,0.3,0.17,89,14.26,Poor,
Hubei,Wuhan,Wuhan_Station_4,41.013206,113.363251,2023-10-10,18.46,7.39,10.62,639.57,2.08,1.92,0.013,0.72,0.041,2.19,26.36,5.89,4.08,0.49,0.04,127,3.9,Poor,High pollution spike detected
Yunnan,Kunming,Kunming_Station_8,35.811902,118.445981,2023-03-11,19.56,6.81,7.48,659.86,1.71,1.95,0.022,0.55,0.145,2.23,12.57,4.53,0.92,0.54,0.04,101,83.36,Good,
Shandong,Qingdao,Qingdao_Station_7,22.359939,117.749096,2023-02-15,10.99,6.73,6.42,437.92,0.3,1.37,0.011,0.51,0.125,3.48,10.88,3.83,2.78,0.46,0.22,114,56.94,Good,
Yunnan,Kunming,Kunming_Station_5,42.713584,107.703104,2023-03-28,13.85,7.25,7.07,489.41,3.23,1.24,0.022,0.55,0.188,2.82,21.4,3.33,6.75,0.48,0.04,113,37.53,Poor,High pollution spike detected
Beijing,Beijing,Beijing_Station_2,39.869079,105.512799,2023-11-02,15.47,6.67,6.81,637.44,3.58,3.36,0.017,0.74,0.083,3.21,27.46,5.17,4.59,0.47,0.15,100,92.64,Very Poor,Monitoring recommended
Beijing,Beijing,Beijing_Station_4,33.395574,105.977545,2023-09-05,19.91,6.81,10.25,594.75,5.9,1.8,0.013,0.73,0.073,2.55,16.58,3.46,6.71,0.6,0.14,88,76.89,Moderate,
Beijing,Beijing,Beijing_Station_7,29.573324,118.673958,2023-03-21,25.94,7.35,8.7,607.02,0.46,1.59,0.02,0.17,0.018,2.9,17.26,4.11,4.73,0.51,0.13,94,50.06,Moderate,High pollution spike detected
Sichuan,Chengdu,Chengdu_Station_6,29.958026,109.941543,2023-07-27,23.3,7.47,4.78,423.73,1.32,2.44,0.014,0.47,0.135,2.86,23.17,2.46,4.73,0.52,0.1,103,64.78,Very Poor,Monitoring recommended
Hubei,Wuhan,Wuhan_Station_2,20.273072,111.419395,2023-03-29,4.9,7.09,11.6,623.89,0.37,1.45,0.028,0.67,0.128,3.12,26.85,2.84,5.13,0.35,0.14,100,13.38,Poor,Monitoring recommended
